id,mensagem,resposta
1,"Estou ansioso demais ultimamente","Sinto muito que você esteja passando por isso… ansiedade pode ser bem pesada. Tente fazer uma pausa, respirar fundo e focar em algo que te acalme por alguns minutos. Se possível, procure alguém de confiança para conversar — compartilhar alivia bastante."
2,"Minha família briga comigo todo dia","Lamento que você esteja vivendo esse ambiente difícil… isso realmente desgasta. Você não precisa lidar com tudo sozinho. Tente se afastar por alguns minutos quando o clima ficar pesado e conversar com alguém que possa te apoiar emocionalmente."
3,"Tenho medo do futuro","É normal sentir insegurança sobre o futuro… isso acontece com muita gente. Uma boa forma de aliviar é trazer o foco para o presente: pense no que você consegue fazer hoje, um passo de cada vez. Você não está sozinho nisso."
4,"Me sinto sozinho mesmo rodeado de pessoas","Isso deve ser bem doloroso… sentir-se só mesmo acompanhado é mais comum do que parece. Tente buscar alguém com quem você realmente se sinta à vontade para conversar, nem que seja por mensagem. Conexões pequenas também ajudam muito."
5,"Estou triste faz dias e não sei o motivo","Sinto muito que você esteja passando por isso… às vezes ficamos sobrecarregados sem perceber. Tente descansar, fazer algo que você gosta e conversar com alguém de confiança. Isso pode trazer clareza e aliviar um pouco do peso."
6,"Briguei com meu namorado e estou mal","Lamento que isso tenha acontecido… conflitos mexem muito com a gente. Tente respirar, dar um tempo para ambos se acalmarem e depois conversar com sinceridade. Expressar o que você sente pode ajudar a resolver a situação."
7,"Não consigo dormir direito","Isso deve ser bem cansativo… noites mal dormidas afetam tudo. Tente criar uma rotina antes de dormir, evitar telas por alguns minutos e fazer algo relaxante. Se continuar por muitos dias, conversar com um profissional pode ajudar."
8,"Estou sem motivação para trabalhar","Entendo como isso pode ser difícil… todos temos fases assim. Tente dividir suas tarefas em partes menores e focar em apenas uma coisa por vez. Pausas curtas também ajudam a organizar a mente."
9,"Estou sobrecarregado com estudos","Sinto muito que esteja passando por isso… estudar sob pressão é complicado. Que tal organizar um cronograma menor, com objetivos simples? Pequenos avanços já aliviam bastante."
10,"Sinto que ninguém me entende","Isso deve machucar bastante… sentir-se incompreendido é difícil mesmo. Talvez compartilhar aos poucos o que você sente com alguém próximo possa abrir um espaço de apoio. Você merece ser ouvido."
11,"Perdi um amigo e não sei como lidar","Sinto muito pela sua perda… lidar com isso é realmente doloroso. Tente conversar com alguém sobre o que sente, guardar tudo sozinho só aumenta o peso. Uma memória positiva pode ajudar a acalmar o coração."
12,"Estou com muita pressão no trabalho","Isso é realmente desgastante… tente fazer pausas curtas, organizar suas prioridades e, se possível, conversar com um colega de confiança. Você não precisa carregar tudo sozinho."
13,"Estou com medo de tomar decisões","É normal sentir esse medo… decisões importantes podem assustar mesmo. Tente listar os prós e contras e dar foco em pequenos passos. Você não precisa decidir tudo de uma vez."
14,"Estou me sentindo insuficiente","Sinto muito que esteja passando por isso… mas saiba que esses sentimentos não definem quem você é. Tente lembrar de pequenas conquistas do seu dia — elas contam muito."
15,"Tenho preocupação constante com tudo","Isso deve ser bem cansativo… tentar controlar tudo gera muito desgaste. Tente focar apenas no que está ao seu alcance hoje, uma coisa de cada vez. Conversar com alguém pode aliviar."
16,"Estou irritado com tudo ultimamente","Isso é mais comum do que parece… às vezes estamos sobrecarregados e nem percebemos. Tente parar alguns minutos, respirar e identificar o que está te deixando assim. Pequenas pausas ajudam bastante."
17,"Estou desanimado com a vida","Sinto muito que esteja sentindo isso… fases assim são difíceis mesmo. Tente buscar algo pequeno que traga um mínimo de bem-estar: música, um banho quente, conversar com alguém. Você merece cuidado."
18,"Sinto que estou preso na mesma rotina","Isso realmente desgasta… tente adicionar algo simples no seu dia, como uma caminhada curta ou um hobby. Mudanças pequenas já fazem diferença."
19,"Estou preocupado com dinheiro","Entendo sua preocupação… questões financeiras realmente tiram a paz. Tente listar seus gastos, focar no essencial e dar passos pequenos. Conversar com alguém de confiança também pode ajudar a clarear as ideias."
20,"Sinto que não sou bom o suficiente","Isso deve estar pesando muito em você… mas lembre-se: seu valor não depende apenas do que você faz. Tente reconhecer pequenos avanços do dia. Você está tentando — e isso já importa muito."
